Solution trouvée avec un coût total de : 80.0
Temps d'exécution : 18.05 secondes
Station -> Fréquence Émettrice / Fréquence Réceptrice
Station 0 -> 322 / 644
Station 1 -> 518 / 196
Station 2 -> 644 / 322
Station 3 -> 196 / 518
Station 4 -> 644 / 322
Station 5 -> 644 / 322
Station 6 -> 518 / 196
Station 7 -> 644 / 322
Station 8 -> 70 / 392
Station 9 -> 392 / 714
Station 10 -> 322 / 644
Station 11 -> 644 / 322
Station 12 -> 196 / 518
Station 13 -> 266 / 588
Station 14 -> 518 / 196
Station 15 -> 392 / 70
Station 16 -> 644 / 322
Station 17 -> 532 / 210
Station 18 -> 644 / 322
Station 19 -> 644 / 322
Station 20 -> 392 / 70
Station 21 -> 322 / 644
Station 22 -> 644 / 322
Station 23 -> 322 / 644
Station 24 -> 392 / 70
Station 25 -> 196 / 518
Station 26 -> 518 / 196
Station 27 -> 644 / 322
Station 28 -> 322 / 644
Station 29 -> 644 / 322
Station 30 -> 518 / 196
Station 31 -> 196 / 518
Station 32 -> 644 / 322
Station 33 -> 462 / 140
Station 34 -> 644 / 322
Station 35 -> 518 / 196
Station 36 -> 196 / 518
Station 37 -> 196 / 518
Station 38 -> 322 / 644
Station 39 -> 518 / 196
Station 40 -> 518 / 196
Station 41 -> 518 / 196
Station 42 -> 322 / 644
Station 43 -> 644 / 322
Station 44 -> 322 / 644
Station 45 -> 518 / 196
Station 46 -> 322 / 644
Station 47 -> 70 / 392
Station 48 -> 644 / 322
Station 49 -> 518 / 196
Station 50 -> 644 / 322
Station 51 -> 644 / 322
Station 52 -> 518 / 196
Station 53 -> 644 / 322
Station 54 -> 644 / 322
Station 55 -> 392 / 70
Station 56 -> 644 / 322
Station 57 -> 644 / 322
Station 58 -> 266 / 588
Station 59 -> 518 / 196
Station 60 -> 70 / 392
Station 61 -> 322 / 644
Station 62 -> 196 / 518
Station 63 -> 518 / 196
Station 64 -> 518 / 196
Station 65 -> 322 / 644
Station 66 -> 644 / 322
Station 67 -> 322 / 644
Station 68 -> 392 / 70
Station 69 -> 518 / 196
Station 70 -> 322 / 644
Station 71 -> 644 / 322
Station 72 -> 644 / 322
Station 73 -> 196 / 518
Station 74 -> 644 / 322
Station 75 -> 644 / 322
Station 76 -> 644 / 322
Station 77 -> 588 / 266
Station 78 -> 518 / 196
Station 79 -> 518 / 196
Station 80 -> 392 / 70
Station 81 -> 714 / 392
Station 82 -> 322 / 644
Station 83 -> 196 / 518
Station 84 -> 644 / 322
Station 85 -> 392 / 70
Station 86 -> 196 / 518
Station 87 -> 644 / 322
Station 88 -> 644 / 322
Station 89 -> 392 / 70
Station 90 -> 518 / 196
Station 91 -> 644 / 322
Station 92 -> 322 / 644
Station 93 -> 644 / 322
Station 94 -> 644 / 322
Station 95 -> 266 / 588
Station 96 -> 518 / 196
Station 97 -> 644 / 322
Station 98 -> 644 / 322
Station 99 -> 518 / 196
Station 100 -> 392 / 70
Station 101 -> 322 / 644
Station 102 -> 210 / 532
Station 103 -> 644 / 322
Station 104 -> 644 / 322
Station 105 -> 644 / 322
Station 106 -> 518 / 196
Station 107 -> 518 / 196
Station 108 -> 196 / 518
Station 109 -> 196 / 518
Station 110 -> 588 / 266
Station 111 -> 196 / 518
Station 112 -> 518 / 196
Station 113 -> 644 / 322
Station 114 -> 644 / 322
Station 115 -> 518 / 196
Station 116 -> 644 / 322
Station 117 -> 140 / 462
Station 118 -> 644 / 322
Station 119 -> 644 / 322
Station 120 -> 644 / 322
Station 121 -> 196 / 518
Station 122 -> 70 / 392
Station 123 -> 28 / 350
Station 124 -> 518 / 196
Station 125 -> 644 / 322
Station 126 -> 518 / 196
Station 127 -> 644 / 322
Station 128 -> 518 / 196
Station 129 -> 322 / 644
Station 130 -> 392 / 70
Station 131 -> 350 / 28
Station 132 -> 322 / 644
Station 133 -> 644 / 322
Station 134 -> 644 / 322
Station 135 -> 644 / 322
Station 136 -> 70 / 392
Station 137 -> 644 / 322
Station 138 -> 644 / 322
Station 139 -> 518 / 196
Station 140 -> 644 / 322
Station 141 -> 196 / 518
Station 142 -> 392 / 70
Station 143 -> 196 / 518
Station 144 -> 518 / 196
Station 145 -> 644 / 322
Station 146 -> 644 / 322
Station 147 -> 644 / 322
Station 148 -> 644 / 322
Station 149 -> 644 / 322
Station 150 -> 518 / 196
Station 151 -> 266 / 588
Station 152 -> 518 / 196
Station 153 -> 518 / 196
Station 154 -> 644 / 322
Station 155 -> 70 / 392
Station 156 -> 392 / 70
Station 157 -> 672 / 350
Station 158 -> 672 / 350
Station 159 -> 518 / 196
Station 160 -> 322 / 644
Station 161 -> 392 / 70
Station 162 -> 322 / 644
Station 163 -> 196 / 518
Station 164 -> 322 / 644
Station 165 -> 518 / 196
Station 166 -> 518 / 196
Station 167 -> 70 / 392
Station 168 -> 322 / 644
Station 169 -> 644 / 322
Station 170 -> 644 / 322
Station 171 -> 392 / 70
Station 172 -> 644 / 322
Station 173 -> 644 / 322
Station 174 -> 518 / 196
Station 175 -> 322 / 644
Station 176 -> 518 / 196
Station 177 -> 322 / 644
Station 178 -> 644 / 322
Station 179 -> 322 / 644
Station 180 -> 644 / 322
Station 181 -> 392 / 70
Station 182 -> 518 / 196
Station 183 -> 644 / 322
Station 184 -> 196 / 518
Station 185 -> 644 / 322
Station 186 -> 266 / 588
Station 187 -> 644 / 322
Station 188 -> 322 / 644
Station 189 -> 518 / 196
Station 190 -> 644 / 322
Station 191 -> 518 / 196
Station 192 -> 322 / 644
Station 193 -> 644 / 322
Station 194 -> 70 / 392
Station 195 -> 644 / 322
Station 196 -> 518 / 196
Station 197 -> 70 / 392
Station 198 -> 518 / 196
Station 199 -> 518 / 196
Station 200 -> 322 / 644
Station 201 -> 392 / 70
Station 202 -> 322 / 644
Station 203 -> 322 / 644
Station 204 -> 196 / 518
Station 205 -> 644 / 322
Station 206 -> 518 / 196
Station 207 -> 392 / 714
Station 208 -> 518 / 196
Station 209 -> 392 / 70
Station 210 -> 518 / 196
Station 211 -> 644 / 322
Station 212 -> 644 / 322
Station 213 -> 644 / 322
Station 214 -> 322 / 644
Station 215 -> 518 / 196
Station 216 -> 518 / 196
Station 217 -> 644 / 322
Station 218 -> 392 / 714
Station 219 -> 518 / 196
Station 220 -> 70 / 392
Station 221 -> 196 / 518
Station 222 -> 644 / 322
Station 223 -> 518 / 196
Station 224 -> 322 / 644
Station 225 -> 588 / 266
Station 226 -> 518 / 196
Station 227 -> 644 / 322
Station 228 -> 392 / 70
Station 229 -> 588 / 266
Station 230 -> 644 / 322
Station 231 -> 518 / 196
Station 232 -> 322 / 644
Station 233 -> 322 / 644
Station 234 -> 322 / 644
Station 235 -> 518 / 196
Station 236 -> 392 / 70
Station 237 -> 644 / 322
Station 238 -> 140 / 462
Station 239 -> 518 / 196
Station 240 -> 322 / 644
Station 241 -> 322 / 644
Station 242 -> 392 / 70
Station 243 -> 196 / 518
Station 244 -> 518 / 196
Station 245 -> 644 / 322
Station 246 -> 644 / 322
Station 247 -> 70 / 392
Station 248 -> 644 / 322
Station 249 -> 322 / 644
Station 250 -> 322 / 644
Station 251 -> 644 / 322
Station 252 -> 644 / 322
Station 253 -> 392 / 714
Station 254 -> 322 / 644
Station 255 -> 644 / 322
Station 256 -> 518 / 196
Station 257 -> 644 / 322
Station 258 -> 462 / 140
Station 259 -> 322 / 644
Station 260 -> 644 / 322
Station 261 -> 644 / 322
Station 262 -> 518 / 196
Station 263 -> 322 / 644
Station 264 -> 266 / 588
Station 265 -> 266 / 588
Station 266 -> 196 / 518
Station 267 -> 644 / 322
Station 268 -> 644 / 322
Station 269 -> 588 / 266
Station 270 -> 644 / 322
Station 271 -> 644 / 322
Station 272 -> 392 / 70
Station 273 -> 518 / 196
Station 274 -> 70 / 392
Station 275 -> 644 / 322
Station 276 -> 518 / 196
Station 277 -> 322 / 644
Station 278 -> 644 / 322
Station 279 -> 644 / 322
Station 280 -> 518 / 196
Station 281 -> 196 / 518
Station 282 -> 644 / 322
Station 283 -> 196 / 518
Station 284 -> 644 / 322
Station 285 -> 392 / 70
Station 286 -> 196 / 518
Station 287 -> 70 / 392
Station 288 -> 518 / 196
Station 289 -> 196 / 518
Station 290 -> 644 / 322
Station 291 -> 644 / 322
Station 292 -> 714 / 392
Station 293 -> 140 / 462
Station 294 -> 266 / 588
Station 295 -> 644 / 322
Station 296 -> 644 / 322
Station 297 -> 70 / 392
Station 298 -> 392 / 70
Station 299 -> 196 / 518
Station 300 -> 518 / 196
Station 301 -> 518 / 196
Station 302 -> 644 / 322
Station 303 -> 644 / 322
Station 304 -> 518 / 196
Station 305 -> 322 / 644
Station 306 -> 644 / 322
Station 307 -> 644 / 322
Station 308 -> 644 / 322
Station 309 -> 196 / 518
Station 310 -> 70 / 392
Station 311 -> 644 / 322
Station 312 -> 322 / 644
Station 313 -> 322 / 644
Station 314 -> 644 / 322
Station 315 -> 518 / 196
Station 316 -> 644 / 322
Station 317 -> 322 / 644
Station 318 -> 644 / 322
Station 319 -> 518 / 196
Station 320 -> 518 / 196
Station 321 -> 644 / 322
Station 322 -> 392 / 70
Station 323 -> 322 / 644
Station 324 -> 644 / 322
Station 325 -> 518 / 196
Station 326 -> 518 / 196
Station 327 -> 644 / 322
Station 328 -> 644 / 322
Station 329 -> 644 / 322
Station 330 -> 644 / 322
Station 331 -> 518 / 196
Station 332 -> 518 / 196
Station 333 -> 196 / 518
Station 334 -> 644 / 322
Station 335 -> 518 / 196
Station 336 -> 392 / 70
Station 337 -> 392 / 70
Station 338 -> 392 / 70
